num,beer_num,beer_name,brewery,style,abv,ibu,ph_act,ph_V,alc_gas,turb_V,ntu,,r,g,b,c
1,01,water,N/A,water,0,0,7.17,2.84,400,4.24,-139.16,,,,,
2,01,water,N/A,water,0,0,6.89,2.87,399,4.24,-139.68,,,,,
3,01,water,N/A,water,0,0,6.72,2.89,398,4.24,-138.7,,,,,
4,01,water,N/A,water,0,0,6.68,2.89,398,4.24,-139.13,,,,,
5,01,water,N/A,water,0,0,6.59,2.9,398,4.24,-138.84,,,,,
6,01,water,N/A,water,0,0,6.59,2.9,398,4.24,-137.72,,,,,
7,01,water,N/A,water,0,0,6.57,2.9,397,4.24,-136.07,,,,,
8,01,water,N/A,water,0,0,6.59,2.9,396,4.24,-133.16,,,,,
9,01,water,N/A,water,0,0,6.59,2.9,395,4.24,-130.14,,,,,
10,01,water,N/A,water,0,0,6.63,2.9,395,4.23,-125.79,,,,,
11,01,water,N/A,water,0,0,6.64,2.89,394,4.23,-123.5,,,,,
12,01,water,N/A,water,0,0,6.67,2.89,394,4.23,-121.13,,,,,
13,01,water,N/A,water,0,0,6.68,2.89,394,4.23,-121.03,,,,,
14,01,water,N/A,water,0,0,6.72,2.89,393,4.23,-121.06,,,,,
15,01,water,N/A,water,0,0,6.73,2.88,393,4.23,-121.03,,,,,
16,01,water,N/A,water,0,0,6.77,2.88,392,4.23,-121.03,,,,,
17,01,water,N/A,water,0,0,6.8,2.88,392,4.23,-121.03,,,,,
18,01,water,N/A,water,0,0,6.81,2.88,391,4.23,-121.03,,,,,
19,01,water,N/A,water,0,0,6.76,2.88,391,4.23,-121.03,,,,,
20,01,water,N/A,water,0,0,6.7,2.89,390,4.23,-121.03,,,,,
1,02,lemon juice,N/A,lemon juice,0,0,1.8,3.43,423,2.69,2984.77,,,,,
2,02,lemon juice,N/A,lemon juice,0,0,1.8,3.43,426,2.69,2984.72,,,,,
3,02,lemon juice,N/A,lemon juice,0,0,1.8,3.43,426,2.69,2984.32,,,,,
