num,beer_num,beer_name,brewery,style,abv,ibu,ph_act,ph_V,alc_gas,turb_V
1,11,Fat Tire,New Belgium,Ale,5.2,15,4.35,3.15,554,4.32
2,11,Fat Tire,New Belgium,Ale,5.2,15,4.39,3.14,555,4.32
3,11,Fat Tire,New Belgium,Ale,5.2,15,3.39,3.14,556,4.32
4,11,Fat Tire,New Belgium,Ale,5.2,15,4,3.19,565,4.32
5,11,Fat Tire,New Belgium,Ale,5.2,15,4.04,3.18,565,4.32
6,11,Fat Tire,New Belgium,Ale,5.2,15,4.04,3.18,566,4.32
7,11,Fat Tire,New Belgium,Ale,5.2,15,4.07,3.18,566,4.33
8,11,Fat Tire,New Belgium,Ale,5.2,15,4.09,3.18,566,4.33
9,11,Fat Tire,New Belgium,Ale,5.2,15,4.09,3.18,565,4.33
10,11,Fat Tire,New Belgium,Ale,5.2,15,4.09,3.18,566,4.33
11,11,Fat Tire,New Belgium,Ale,5.2,15,4.09,3.18,567,4.34
12,11,Fat Tire,New Belgium,Ale,5.2,15,4.09,3.18,566,4.34
13,11,Fat Tire,New Belgium,Ale,5.2,15,4.13,3.17,566,4.34
14,11,Fat Tire,New Belgium,Ale,5.2,15,4.13,3.17,565,4.34
15,11,Fat Tire,New Belgium,Ale,5.2,15,4.13,3.17,566,4.34
16,11,Fat Tire,New Belgium,Ale,5.2,15,4.09,3.18,566,4.34
17,11,Fat Tire,New Belgium,Ale,5.2,15,4.13,3.17,565,4.35
18,11,Fat Tire,New Belgium,Ale,5.2,15,4.15,3.17,566,4.35
19,11,Fat Tire,New Belgium,Ale,5.2,15,4.16,3.17,566,4.35
20,11,Fat Tire,New Belgium,Ale,5.2,15,4.17,3.17,566,4.35
21,11,Fat Tire,New Belgium,Ale,5.2,15,4.17,3.17,565,4.35
22,11,Fat Tire,New Belgium,Ale,5.2,15,4.17,3.17,565,4.35
23,11,Fat Tire,New Belgium,Ale,5.2,15,4.17,3.17,565,4.35
24,11,Fat Tire,New Belgium,Ale,5.2,15,4.17,3.17,565,4.35
25,11,Fat Tire,New Belgium,Ale,5.2,15,4.17,3.17,566,4.35
1,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,3.43,3.25,570,4.02
2,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,3.43,3.25,569,4.02
3,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,3.43,3.25,568,4.02
4,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,3.43,3.25,572,4.03
5,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,3.43,3.25,573,4.03
6,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,3.43,3.25,572,4.03
7,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,3.43,3.25,572,4.03
8,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,3.43,3.25,572,4.03
9,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,3.43,3.25,575,4.04
10,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,3.43,3.25,576,4.04
11,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,3.43,3.25,567,4.04
12,21,Guinness Extra Stout,Guinness & Co.,Stout,5.6,47,3.43,3.25,569,4.04
